Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
18/05/2018,Santos Laguna,Toluca,2,1,H,2.28,3.5,3.26
21/05/2018,Toluca,Santos Laguna,1,1,D,1.69,3.96,5.29
21/07/2018,Veracruz,U.N.A.M.- Pumas,0,2,A,2.89,3.25,2.64
21/07/2018,Atlas,Queretaro,0,0,D,2.32,3.14,3.53
21/07/2018,Cruz Azul,Puebla,3,0,H,1.72,3.79,5.34
22/07/2018,Pachuca,Monterrey,0,1,A,3.06,3.49,2.38
22/07/2018,Club Tijuana,Guadalajara Chivas,2,1,H,2.33,3.12,3.52
22/07/2018,U.A.N.L.- Tigres,Club Leon,2,0,H,1.69,3.69,5.82
22/07/2018,Toluca,Monarcas,2,0,H,1.55,4.43,6.2
23/07/2018,Santos Laguna,Lobos BUAP,2,1,H,1.68,4.33,4.83
23/07/2018,Necaxa,Club America,2,1,H,2.86,3.14,2.74
28/07/2018,Monarcas,Santos Laguna,3,1,H,2.62,3.47,2.76
28/07/2018,Puebla,Toluca,2,1,H,3.57,3.41,2.18
28/07/2018,Queretaro,Pachuca,1,0,H,3.23,3.33,2.36
29/07/2018,Club America,Atlas,3,0,H,1.63,3.86,6.26
29/07/2018,Guadalajara Chivas,Cruz Azul,0,1,A,3.36,3.37,2.28
29/07/2018,U.N.A.M.- Pumas,Necaxa,5,3,H,2.28,3.37,3.35
29/07/2018,Lobos BUAP,Veracruz,2,0,H,1.76,4,4.67
30/07/2018,U.A.N.L.- Tigres,Club Tijuana,1,0,H,1.65,3.79,6.19
30/07/2018,Club Leon,Monterrey,0,2,A,3.15,3.45,2.35
04/08/2018,Veracruz,Monarcas,2,2,D,3.13,3.48,2.35
04/08/2018,Atlas,U.N.A.M.- Pumas,0,3,A,2.29,3.56,3.17
04/08/2018,Necaxa,Lobos BUAP,1,0,H,1.83,3.81,4.51
05/08/2018,Pachuca,Club America,1,3,A,2.88,3.32,2.61
05/08/2018,Cruz Azul,U.A.N.L.- Tigres,1,0,H,2.26,3.2,3.6
05/08/2018,Monterrey,Queretaro,2,1,H,1.4,4.71,9.22
05/08/2018,Toluca,Guadalajara Chivas,2,2,D,1.88,3.54,4.53
06/08/2018,Santos Laguna,Puebla,2,0,H,1.78,3.9,4.64
06/08/2018,Club Tijuana,Club Leon,1,1,D,1.85,3.75,4.39
11/08/2018,Puebla,Veracruz,1,2,A,1.78,3.68,5.07
11/08/2018,Monarcas,Necaxa,2,1,H,2.43,3.49,2.99
11/08/2018,Lobos BUAP,Atlas,0,0,D,2.24,3.38,3.42
12/08/2018,Club Leon,Queretaro,4,0,H,1.96,3.56,4.2
12/08/2018,U.A.N.L.- Tigres,Toluca,1,2,A,1.58,4.16,6.41
12/08/2018,Club America,Monterrey,3,0,H,2.5,3.15,3.17
12/08/2018,U.N.A.M.- Pumas,Pachuca,0,0,D,2.24,3.62,3.21
13/08/2018,Guadalajara Chivas,Santos Laguna,1,2,A,2.31,3.52,3.18
13/08/2018,Club Tijuana,Cruz Azul,1,1,D,2.9,3.05,2.78
18/08/2018,Veracruz,Guadalajara Chivas,0,2,A,3.29,3.37,2.32
