Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
16/11/2012,Guadalajara Chivas,Toluca,1,2,A,2.7,3.09,3.01
17/11/2012,Club America,Monarcas,1,2,A,2.13,3.53,3.56
18/11/2012,Club Leon,Cruz Azul,3,0,H,1.86,3.76,4.5
18/11/2012,Toluca,Guadalajara Chivas,3,1,H,1.99,3.46,4.3
19/11/2012,Club Tijuana,Monterrey,1,1,D,2.25,3.36,3.5
23/11/2012,Club America,Toluca,0,2,A,1.92,3.58,4.45
23/11/2012,Club Leon,Club Tijuana,2,0,H,1.85,3.72,4.65
25/11/2012,Toluca,Club America,1,2,A,2.42,3.62,2.99
26/11/2012,Club Tijuana,Club Leon,3,0,H,2.23,3.47,3.45
30/11/2012,Club Tijuana,Toluca,2,1,H,2.31,3.27,3.5
03/12/2012,Toluca,Club Tijuana,0,2,A,1.96,3.63,4.16
05/01/2013,Monarcas,Cruz Azul,3,3,D,2.35,3.39,3.28
05/01/2013,Club America,Monterrey,2,1,H,1.97,3.69,4.05
06/01/2013,Pachuca,Atlante,2,0,H,1.96,3.62,4.16
06/01/2013,U.A.N.L.- Tigres,Chiapas,3,0,H,1.7,3.87,5.54
06/01/2013,Club Leon,Queretaro,2,2,D,1.33,5.4,11.65
06/01/2013,Atl. San Luis,Santos Laguna,1,1,D,3.45,3.5,2.23
06/01/2013,U.N.A.M.- Pumas,Atlas,1,1,D,1.93,3.64,4.3
06/01/2013,Puebla,Club Tijuana,1,2,A,3.53,3.34,2.25
06/01/2013,Guadalajara Chivas,Toluca,1,1,D,2.54,3.3,3.04
12/01/2013,Chiapas,Club America,0,2,A,3.54,3.61,2.14
12/01/2013,Santos Laguna,Guadalajara Chivas,2,0,H,1.91,3.49,4.63
12/01/2013,Cruz Azul,Atl. San Luis,2,1,H,1.54,4.28,6.97
12/01/2013,Queretaro,U.N.A.M.- Pumas,2,1,H,2.95,3.22,2.66
13/01/2013,Club Tijuana,Club Leon,1,0,H,1.98,3.47,4.29
13/01/2013,Monterrey,Monarcas,1,0,H,2.58,3.32,2.97
13/01/2013,Atlas,Pachuca,2,0,H,3.02,3.29,2.56
13/01/2013,Toluca,Puebla,1,1,D,1.65,3.95,6.06
14/01/2013,Atlante,U.A.N.L.- Tigres,1,3,A,4.08,3.5,2.02
19/01/2013,Chiapas,Monterrey,1,1,D,2.63,3.23,2.97
19/01/2013,Club Leon,Toluca,1,2,A,2.1,3.46,3.85
19/01/2013,Club America,Atlante,4,0,H,1.38,4.98,10.09
20/01/2013,Pachuca,Queretaro,1,1,D,1.81,3.83,4.75
20/01/2013,U.A.N.L.- Tigres,Atlas,1,0,H,1.56,4.34,6.41
20/01/2013,Atl. San Luis,Monarcas,1,2,A,3.78,3.43,2.13
20/01/2013,Puebla,Santos Laguna,2,1,H,2.91,3.51,2.52
20/01/2013,U.N.A.M.- Pumas,Club Tijuana,1,2,A,2.94,3.27,2.64
20/01/2013,Guadalajara Chivas,Cruz Azul,1,1,D,3.11,3.2,2.56
26/01/2013,Monarcas,Guadalajara Chivas,1,1,D,2.09,3.39,3.96
26/01/2013,Santos Laguna,Club Leon,2,0,H,2.31,3.36,3.37
26/01/2013,Cruz Azul,Puebla,4,0,H,1.61,4.19,6.08
26/01/2013,Queretaro,U.A.N.L.- Tigres,0,2,A,4.12,3.47,2
27/01/2013,Club Tijuana,Pachuca,2,0,H,1.68,3.89,5.82
27/01/2013,Monterrey,Atl. San Luis,3,2,H,1.57,4.34,6.31
27/01/2013,Atlas,Club America,2,1,H,4.45,3.64,1.9
27/01/2013,Toluca,U.N.A.M.- Pumas,0,1,A,1.93,3.76,4.12
28/01/2013,Atlante,Chiapas,4,3,H,2.42,3.33,3.21
02/02/2013,Chiapas,Atlas,1,2,A,2.17,3.39,3.71
02/02/2013,Club America,Queretaro,3,0,H,1.31,5.71,11.56
03/02/2013,Pachuca,Toluca,1,0,H,2.31,3.29,3.41
03/02/2013,U.A.N.L.- Tigres,Club Tijuana,2,2,D,1.9,3.44,4.8
03/02/2013,Club Leon,Cruz Azul,2,2,D,2.44,3.44,3.08
03/02/2013,Guadalajara Chivas,Atl. San Luis,1,1,D,1.88,3.62,4.59
03/02/2013,Puebla,Monarcas,3,1,H,3.55,3.34,2.25
03/02/2013,U.N.A.M.- Pumas,Santos Laguna,0,0,D,2.39,3.29,3.2
04/02/2013,Atlante,Monterrey,3,1,H,3.34,3.44,2.29
09/02/2013,Monarcas,Club Leon,1,0,H,1.94,3.7,4.13
09/02/2013,Cruz Azul,U.N.A.M.- Pumas,1,1,D,1.81,3.74,4.84
09/02/2013,Queretaro,Chiapas,1,1,D,2.64,3.21,2.98
10/02/2013,Club Tijuana,Club America,1,2,A,2.38,3.33,3.28
10/02/2013,Monterrey,Guadalajara Chivas,0,1,A,1.85,3.76,4.57
10/02/2013,Atl. San Luis,Puebla,1,3,A,2.37,3.36,3.28
10/02/2013,Atlas,Atlante,2,1,H,1.99,3.59,4.09
10/02/2013,Toluca,U.A.N.L.- Tigres,1,4,A,2.88,3.26,2.69
10/02/2013,Santos Laguna,Pachuca,0,1,A,2.04,3.33,4.25
16/02/2013,Chiapas,Club Tijuana,2,0,H,2.68,3.28,2.88
16/02/2013,Club America,Toluca,2,2,D,1.55,4.26,6.87
17/02/2013,Pachuca,Cruz Azul,2,1,H,2.9,3.25,2.68
17/02/2013,U.A.N.L.- Tigres,Santos Laguna,1,1,D,1.79,3.82,4.84
17/02/2013,Club Leon,Atl. San Luis,2,0,H,1.68,4.03,5.54
17/02/2013,Atlas,Monterrey,2,1,H,2.39,3.33,3.26
17/02/2013,U.N.A.M.- Pumas,Monarcas,1,0,H,2.62,3.26,2.97
17/02/2013,Puebla,Guadalajara Chivas,1,1,D,2.5,3.33,3.06
18/02/2013,Atlante,Queretaro,1,1,D,1.89,3.63,4.49
23/02/2013,Monarcas,Pachuca,3,2,H,1.93,3.5,4.53
23/02/2013,Santos Laguna,Club America,1,0,H,2.58,3.33,2.96
23/02/2013,Cruz Azul,U.A.N.L.- Tigres,1,2,A,2.7,3.25,2.88
23/02/2013,Queretaro,Atlas,0,0,D,2.39,3.19,3.41
24/02/2013,Monterrey,Puebla,3,0,H,1.64,4.29,5.45
24/02/2013,Atl. San Luis,U.N.A.M.- Pumas,0,2,A,3.78,3.36,2.16
24/02/2013,Club Tijuana,Atlante,2,0,H,1.5,4.5,7.5
24/02/2013,Toluca,Chiapas,2,1,H,2.08,3.67,3.61
24/02/2013,Guadalajara Chivas,Club Leon,2,1,H,2.2,3.28,3.19
02/03/2013,Chiapas,Santos Laguna,1,3,A,2.49,3.47,2.98
02/03/2013,Club America,Cruz Azul,3,0,H,1.89,3.68,4.41
02/03/2013,Queretaro,Monterrey,1,0,H,3.2,3.41,2.38
03/03/2013,Pachuca,Atl. San Luis,2,1,H,1.67,3.93,5.86
03/03/2013,U.A.N.L.- Tigres,Monarcas,1,1,D,1.79,3.94,4.68
03/03/2013,Club Leon,Puebla,0,1,A,1.7,4,5.37
03/03/2013,Atlas,Club Tijuana,1,0,H,3.16,3.19,2.52
03/03/2013,U.N.A.M.- Pumas,Guadalajara Chivas,1,1,D,2.06,3.37,4.07
04/03/2013,Atlante,Toluca,0,1,A,2.69,3.26,2.88
09/03/2013,Monarcas,Club America,1,1,D,2.85,3.32,2.69
09/03/2013,Cruz Azul,Chiapas,1,1,D,1.7,4,5.33
10/03/2013,Club Tijuana,Queretaro,0,1,A,1.55,4.16,7.11
10/03/2013,Monterrey,Club Leon,2,1,H,1.97,3.61,4.13
10/03/2013,Santos Laguna,Atlante,2,1,H,1.5,4.5,7.23
10/03/2013,Atl. San Luis,U.A.N.L.- Tigres,1,2,A,4.76,3.79,1.81
10/03/2013,Toluca,Atlas,0,1,A,2.25,3.4,3.47
10/03/2013,Puebla,U.N.A.M.- Pumas,0,1,A,3.38,3.2,2.39
10/03/2013,Guadalajara Chivas,Pachuca,1,0,H,2.4,3.3,3.22
16/03/2013,Chiapas,Monarcas,1,1,D,3.03,3.39,2.49
16/03/2013,Club America,Atl. San Luis,1,1,D,1.28,6.16,12.56
16/03/2013,Queretaro,Toluca,1,0,H,2.77,3.24,2.81
17/03/2013,Pachuca,Puebla,2,1,H,1.71,3.8,5.59
17/03/2013,U.A.N.L.- Tigres,Guadalajara Chivas,1,1,D,1.81,3.85,4.65
17/03/2013,Atlas,Santos Laguna,1,2,A,2.45,3.36,3.14
17/03/2013,Club Tijuana,Monterrey,2,2,D,2.04,3.41,4.15
17/03/2013,U.N.A.M.- Pumas,Club Leon,0,0,D,2.29,3.33,3.44
18/03/2013,Atlante,Cruz Azul,0,3,A,3.03,3.36,2.52
30/03/2013,Cruz Azul,Atlas,1,2,A,1.98,3.49,4.28
30/03/2013,Toluca,Club Tijuana,1,0,H,2.48,3.25,3.18
31/03/2013,Monarcas,Atlante,4,0,H,1.58,4,6.94
31/03/2013,Monterrey,U.N.A.M.- Pumas,3,0,H,2.29,3.31,3.49
31/03/2013,Santos Laguna,Queretaro,1,1,D,1.61,4.16,6.09
31/03/2013,Club Leon,Pachuca,0,0,D,1.92,3.68,4.32
31/03/2013,Atl. San Luis,Chiapas,3,0,H,2.39,3.23,3.37
31/03/2013,Puebla,U.A.N.L.- Tigres,1,2,A,3.65,3.32,2.23
01/04/2013,Guadalajara Chivas,Club America,0,2,A,3,3.36,2.54
06/04/2013,Chiapas,Guadalajara Chivas,3,2,H,2.65,3.3,2.9
07/04/2013,Club America,Puebla,1,1,D,1.4,4.9,9.3
07/04/2013,Queretaro,Cruz Azul,1,2,A,3.03,3.24,2.58
07/04/2013,Pachuca,U.N.A.M.- Pumas,1,2,A,2.39,3.28,3.29
07/04/2013,U.A.N.L.- Tigres,Club Leon,0,0,D,1.58,4.16,6.58
07/04/2013,Atlas,Monarcas,0,0,D,2.67,3.19,2.96
07/04/2013,Club Tijuana,Santos Laguna,0,0,D,1.86,3.66,4.66
07/04/2013,Toluca,Monterrey,1,0,H,2.23,3.42,3.49
08/04/2013,Atlante,Atl. San Luis,0,1,A,2.16,3.26,3.9
13/04/2013,Santos Laguna,Toluca,2,1,H,2.24,3.4,3.51
13/04/2013,Monarcas,Queretaro,1,0,H,1.61,4.05,6.35
13/04/2013,Cruz Azul,Club Tijuana,5,0,H,2.33,3.31,3.4
14/04/2013,Monterrey,Pachuca,2,0,H,1.81,3.66,5.01
14/04/2013,Club Leon,Club America,1,1,D,3.08,3.3,2.52
14/04/2013,Atl. San Luis,Atlas,2,2,D,2.64,3.22,2.98
14/04/2013,Puebla,Chiapas,1,2,A,1.98,3.52,4.26
14/04/2013,U.N.A.M.- Pumas,U.A.N.L.- Tigres,2,1,H,2.97,3.26,2.6
14/04/2013,Guadalajara Chivas,Atlante,1,2,A,1.79,3.65,5.15
20/04/2013,Chiapas,Club Leon,2,2,D,2.84,3.31,2.69
20/04/2013,Santos Laguna,Monterrey,1,0,H,2.47,3.25,3.21
20/04/2013,Queretaro,Atl. San Luis,2,1,H,2.39,3.35,3.25
21/04/2013,Atlas,Guadalajara Chivas,1,0,H,2.4,3.35,3.24
21/04/2013,Club Tijuana,Monarcas,1,2,A,2.12,3.35,3.92
21/04/2013,U.A.N.L.- Tigres,Pachuca,3,1,H,1.61,4.18,6.15
21/04/2013,Club America,U.N.A.M.- Pumas,1,0,H,1.95,3.43,4.51
21/04/2013,Toluca,Cruz Azul,0,2,A,2.79,3.35,2.7
21/04/2013,Atlante,Puebla,2,0,H,2.27,3.33,3.43
27/04/2013,Monarcas,Toluca,2,1,H,1.99,3.43,4.32
27/04/2013,Cruz Azul,Santos Laguna,1,0,H,1.59,4.07,6.57
28/04/2013,Pachuca,Club America,2,4,A,3.37,3.49,2.25
28/04/2013,U.A.N.L.- Tigres,Monterrey,0,1,A,1.99,3.57,4.12
28/04/2013,Club Leon,Atlante,1,0,H,1.58,4.21,6.41
28/04/2013,Atl. San Luis,Club Tijuana,1,0,H,2.58,3.32,2.98
28/04/2013,Puebla,Atlas,1,1,D,2.22,3.42,3.47
28/04/2013,U.N.A.M.- Pumas,Chiapas,3,0,H,1.66,3.88,6.02
28/04/2013,Guadalajara Chivas,Queretaro,1,2,A,1.98,3.45,4.25
04/05/2013,Chiapas,Pachuca,2,1,H,2.5,3.42,3
04/05/2013,Club Tijuana,Guadalajara Chivas,4,0,H,1.99,3.42,4.36
04/05/2013,Club America,U.A.N.L.- Tigres,0,2,A,2.24,3.37,3.54
05/05/2013,Monterrey,Cruz Azul,1,5,A,2.77,3.3,2.76
05/05/2013,Santos Laguna,Monarcas,1,2,A,2.39,3.35,3.25
05/05/2013,Atlas,Club Leon,0,1,A,1.98,3.41,4.41
05/05/2013,Queretaro,Puebla,2,3,A,2.14,3.41,3.76
05/05/2013,Toluca,Atl. San Luis,0,1,A,1.74,3.7,5.57
06/05/2013,Atlante,U.N.A.M.- Pumas,1,2,A,3.44,3.42,2.25
09/05/2013,Monterrey,U.A.N.L.- Tigres,1,0,H,2.62,3.29,2.94
09/05/2013,U.N.A.M.- Pumas,Club America,0,1,A,3.46,3.16,2.39
10/05/2013,Santos Laguna,Atlas,0,0,D,1.95,3.42,4.5
10/05/2013,Cruz Azul,Monarcas,4,2,H,2.23,3.43,3.5
11/05/2013,Club America,U.N.A.M.- Pumas,2,1,H,2.02,3.4,4.24
12/05/2013,U.A.N.L.- Tigres,Monterrey,1,1,D,1.85,3.7,4.68
13/05/2013,Monarcas,Cruz Azul,1,0,H,2.37,3.52,3.12
13/05/2013,Atlas,Santos Laguna,1,3,A,2.61,3.32,2.89
16/05/2013,Monterrey,Club America,2,2,D,2.54,3.38,2.97
17/05/2013,Santos Laguna,Cruz Azul,0,3,A,2.77,3.3,2.77
18/05/2013,Club America,Monterrey,2,1,H,1.78,3.91,4.8
20/05/2013,Cruz Azul,Santos Laguna,2,1,H,2.04,3.53,3.95
24/05/2013,Cruz Azul,Club America,1,0,H,3.28,3.16,2.47
27/05/2013,Club America,Cruz Azul,2,1,H,1.76,4.05,4.75
20/07/2013,Queretaro,Monarcas,1,3,A,2.93,3.39,2.56
20/07/2013,Club Tijuana,Atlas,3,3,D,1.93,3.43,4.63
20/07/2013,Cruz Azul,Monterrey,1,0,H,2.02,3.56,4
21/07/2013,Veracruz,Chiapas,2,2,D,2.11,3.47,3.78
21/07/2013,Club Leon,Atlante,1,0,H,1.56,4.09,7.07
21/07/2013,Puebla,U.N.A.M.- Pumas,1,1,D,3.08,3.29,2.52
21/07/2013,Toluca,Pachuca,0,1,A,2.41,3.3,3.24
27/07/2013,Monarcas,Toluca,3,4,A,1.79,3.61,5.23
27/07/2013,Santos Laguna,Cruz Azul,3,2,H,3.07,3.34,2.5
28/07/2013,Atlante,Veracruz,2,4,A,2.27,3.29,3.56
28/07/2013,Monterrey,Puebla,1,1,D,1.62,4.01,6.33
28/07/2013,Pachuca,U.A.N.L.- Tigres,2,1,H,2.94,3.24,2.65
28/07/2013,Atlas,Club Leon,1,2,A,3.01,3.35,2.52
28/07/2013,Chiapas,Guadalajara Chivas,1,1,D,2.62,3.35,2.9
28/07/2013,U.N.A.M.- Pumas,Queretaro,0,3,A,1.85,3.53,4.98
31/07/2013,Cruz Azul,Chiapas,1,1,D,1.49,4.62,7.28
31/07/2013,Atlante,Atlas,1,1,D,2.31,3.36,3.37
